,Ticker
0,AAPL
1,MSFT
2,NVDA
3,AMZN
4,META
5,BRKB
6,GOOGL
7,TSLA
8,GOOG
9,AVGO
10,JPM
11,LLY
12,V
13,UNH
14,XOM
15,MA
16,COST
17,PG
18,NFLX
19,JNJ
20,WMT
21,ABBV
22,HD
23,KO
24,CVX
25,PM
26,BAC
27,CRM
28,MCD
29,CSCO
30,ABT
31,LIN
32,IBM
33,ORCL
34,MRK
35,WFC
36,PEP
37,T
38,GE
39,VZ
40,ACN
41,TMO
42,ISRG
43,RTX
44,PLTR
45,PGR
46,AMGN
47,INTU
48,DIS
49,ADBE
50,NOW
51,QCOM
52,GS
53,SPGI
54,AMD
55,TXN
56,NEE
57,CAT
58,BKNG
59,BSX
60,UBER
61,TJX
62,GILD
63,PFE
64,AXP
65,UNP
66,HON
67,CMCSA
68,SYK
69,BLK
70,DHR
71,TMUS
72,LOW
73,VRTX
74,ADP
75,SCHW
76,MS
77,FI
78,COP
79,CB
80,MMC
81,C
82,BMY
83,BA
84,MDT
85,DE
86,AMAT
87,PANW
88,AMT
89,ELV
90,ETN
91,SO
92,SBUX
93,XTSLA
94,MO
95,INTC
96,CME
97,BX
98,LMT
99,DUK
100,ICE
101,WM
102,WELL
103,PLD
104,CI
105,MCK
106,MDLZ
107,ADI
108,CVS
109,AJG
110,LRCX
111,ORLY
112,KLAC
113,MU
114,SPOT
115,GEV
116,CRWD
117,SHW
118,CL
119,EQIX
120,AON
121,MMM
122,TT
123,TDG
124,APH
125,GD
126,ANET
127,UPS
128,ZTS
129,MSI
130,WMB
131,PH
132,CTAS
133,NOC
134,ITW
135,MCO
136,KKR
137,APP
138,CMG
139,CDNS
140,EOG
141,NKE
142,MSTR
143,HCA
144,AZO
145,SNPS
146,APO
147,BDX
148,PNC
149,REGN
150,APD
151,ECL
152,COF
153,PYPL
154,ROP
155,AFL
156,DASH
157,USB
158,CEG
159,TRV
160,CRH
161,EMR
162,AEP
163,OKE
164,BK
165,FTNT
166,SLB
167,ADSK
168,NEM
169,CSX
170,AIG
171,ALL
172,KMI
173,HLT
174,RSG
175,JCI
176,CARR
177,MAR
178,HWM
179,COR
180,O
181,SPG
182,NSC
183,CPRT
184,TFC
185,PAYX
186,LNG
187,ABNB
188,WDAY
189,KMB
190,FDX
191,MRVL
192,FCX
193,PCAR
194,D
195,KR
196,EXC
197,DLR
198,PSA
199,CCI
200,YUM
201,GM
202,KVUE
203,SRE
204,RCL
205,FAST
206,PSX
207,MET
208,AMP
209,SNOW
210,TGT
211,VRSK
212,FICO
213,EW
214,KDP
215,ROST
216,GWW
217,CTVA
218,MNST
219,XEL
220,OTIS
221,MSCI
222,MPC
223,HES
224,BKR
225,PEG
226,DFS
227,CMI
228,FIS
229,LHX
230,ED
231,AXON
232,TRGP
233,URI
234,EA
235,CBRE
236,PCG
237,PRU
238,F
239,AME
240,SYY
241,VST
242,PWR
243,ETR
244,CTSH
245,VLO
246,TTWO
247,HIG
248,ACGL
249,DHI
250,COIN
251,WEC
252,ALNY
253,CHTR
254,GIS
255,WTW
256,IDXX
257,NU
258,CAH
259,VEEV
260,VICI
261,GEHC
262,GLW
263,CNC
264,NET
265,HUM
266,TEAM
